Pais,Codigo,Continente,Regiao,NivelDesenvolvimento,Ano,TempMediaAno,DifTempMediaAno,EmissaoCO2TonAno,DifEmissaoCO2TonAno
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1957,26.6777499516805,0.2509164810180664,21984.0,""
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1958,27.096416632334392,0.41866668065389234,29312.0,7328.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1959,26.902166684468586,-0.1942499478658064,29312.0,0.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1960,26.96258306503296,0.06041638056437293,36640.0,7328.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1961,26.73091681798299,-0.23166624704996863,47632.0,10992.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1962,26.73675012588501,0.005833307902019413,102592.0,54960.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1963,26.89116684595744,0.15441672007242957,84272.0,-18320.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1964,26.709083398183186,-0.18208344777425367,91600.0,7328.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1965,26.421666622161865,-0.28741677602132043,150224.0,58624.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1966,26.591666380564373,0.1699997584025077,348080.0,197856.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1967,26.342666625976562,-0.24899975458781043,564256.0,216176.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1968,26.416916529337566,0.07424990336100379,989280.0,425024.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1969,26.881916840871174,0.46500031153360766,1256752.0,267472.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1970,26.73858340581258,-0.14333343505859375,461664.0,-795088.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1971,26.391416867574055,-0.3471665382385254,425024.0,-36640.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1972,26.550000031789143,0.1585831642150879,373728.0,-51296.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1973,26.873250325520832,0.32325029373168945,329760.0,-43968.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1974,26.34000015258789,-0.5332501729329415,428688.0,98928.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1975,26.335416793823242,-0.0045833587646484375,707152.0,278464.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1976,26.267666975657146,-0.06774981816609582,403040.0,-304112.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1977,26.851916790008545,0.5842498143513986,465328.0,62288.0
Antigua and Barbuda,ATG,América,América Caribe,Em desenvolvimento,1978,26.86150010426839,0.009583314259845821,490976.0,25648.0
